Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.114       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00779    |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00895    |
|    value_loss           | 0.0203      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.8         |
|    ep_rew_mean          | 0.352        |
| time/                   |              |
|    fps                  | 605          |
|    iterations           | 12           |
|    time_elapsed         | 40           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0076660356 |
|    clip_fraction        | 0.0571       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.76        |
|    explained_variance   | 0.0143       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0185      |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00684     |
|    value_loss           | 0.023        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.4        |
|    ep_rew_mean          | 0.35        |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 13          |
|    time_elapsed         | 44          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.007543144 |
|    clip_fraction        | 0.045       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | 0.332       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00575     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00593    |
|    value_loss           | 0.0135      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.3        |
|    ep_rew_mean          | 0.383       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 14          |
|    time_elapsed         | 47          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.008466182 |
|    clip_fraction        | 0.0733      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.77       |
|    explained_variance   | 0.193       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0231      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00896    |
|    value_loss           | 0.0188      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42.3        |
|    ep_rew_mean          | 0.369       |
| time/                   |             |
|    fps                  | 599         |
|    iterations           | 15          |
|    time_elapsed         | 51          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.007521925 |
|    clip_fraction        | 0.0594      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | -0.00788    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.014      |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0069     |
|    value_loss           | 0.0232      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43          |
|    ep_rew_mean          | 0.357       |
| time/                   |             |
|    fps                  | 598         |
|    iterations           | 16          |
|    time_elapsed         | 54          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.006906951 |
|    clip_fraction        | 0.0327      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.11        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00715     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00338    |
|    value_loss           | 0.0226      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42.5        |
|    ep_rew_mean          | 0.347       |
| time/                   |             |
|    fps                  | 594         |
|    iterations           | 17          |
|    time_elapsed         | 58          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.008323027 |
|    clip_fraction        | 0.088       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.0614      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00864    |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.6        |
|    ep_rew_mean          | 0.332       |
| time/                   |             |
|    fps                  | 592         |
|    iterations           | 18          |
|    time_elapsed         | 62          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.008814635 |
|    clip_fraction        | 0.071       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.73       |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00799     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00867    |
|    value_loss           | 0.0207      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.9        |
|    ep_rew_mean          | 0.322       |
| time/                   |             |
|    fps                  | 588         |
|    iterations           | 19          |
|    time_elapsed         | 66          |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.009543696 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.213       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0128     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00808    |
|    value_loss           | 0.0119      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.9         |
|    ep_rew_mean          | 0.382        |
| time/                   |              |
|    fps                  | 588          |
|    iterations           | 20           |
|    time_elapsed         | 69           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0059789047 |
|    clip_fraction        | 0.0407       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.69        |
|    explained_variance   | 0.177        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00993      |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00582     |
|    value_loss           | 0.0182       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | 0.45        |
| time/                   |             |
|    fps                  | 587         |
|    iterations           | 21          |
|    time_elapsed         | 73          |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.009200481 |
|    clip_fraction        | 0.0705      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.64       |
|    explained_variance   | 0.0165      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0166     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00708    |
|    value_loss           | 0.0287      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.7        |
|    ep_rew_mean          | 0.4         |
| time/                   |             |
|    fps                  | 586         |
|    iterations           | 22          |
|    time_elapsed         | 76          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.009387827 |
|    clip_fraction        | 0.0596      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.62       |
|    explained_variance   | 0.0785      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0209      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00604    |
|    value_loss           | 0.0243      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.4        |
|    ep_rew_mean          | 0.399       |
| time/                   |             |
|    fps                  | 584         |
|    iterations           | 23          |
|    time_elapsed         | 80          |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.010269761 |
|    clip_fraction        | 0.0755      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.216       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0352     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00843    |
|    value_loss           | 0.0141      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39.6         |
|    ep_rew_mean          | 0.372        |
| time/                   |              |
|    fps                  | 583          |
|    iterations           | 24           |
|    time_elapsed         | 84           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0073721856 |
|    clip_fraction        | 0.0609       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.67        |
|    explained_variance   | -0.0101      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00126     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00645     |
|    value_loss           | 0.0259       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.2         |
|    ep_rew_mean          | 0.297        |
| time/                   |              |
|    fps                  | 581          |
|    iterations           | 25           |
|    time_elapsed         | 88           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0076301447 |
|    clip_fraction        | 0.0524       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.68        |
|    explained_variance   | -0.138       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0253       |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.0056      |
|    value_loss           | 0.0174       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42          |
|    ep_rew_mean          | 0.324       |
| time/                   |             |
|    fps                  | 579         |
|    iterations           | 26          |
|    time_elapsed         | 91          |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.010717181 |
|    clip_fraction        | 0.0893      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.67       |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0364      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00738    |
|    value_loss           | 0.0177      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.7        |
|    ep_rew_mean          | 0.36        |
| time/                   |             |
|    fps                  | 579         |
|    iterations           | 27          |
|    time_elapsed         | 95          |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.009369584 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.193       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00463     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 0.0252      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47          |
|    ep_rew_mean          | 0.389       |
| time/                   |             |
|    fps                  | 579         |
|    iterations           | 28          |
|    time_elapsed         | 98          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.007500641 |
|    clip_fraction        | 0.0624      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | -0.166      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00767    |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0079     |
|    value_loss           | 0.0271      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 45          |
|    ep_rew_mean          | 0.385       |
| time/                   |             |
|    fps                  | 579         |
|    iterations           | 29          |
|    time_elapsed         | 102         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.007286515 |
|    clip_fraction        | 0.0514      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.0893      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.016      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00749    |
|    value_loss           | 0.0161      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.7        |
|    ep_rew_mean          | 0.409       |
| time/                   |             |
|    fps                  | 578         |
|    iterations           | 30          |
|    time_elapsed         | 106         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.011486715 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.57       |
|    explained_variance   | 0.124       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0292     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00888    |
|    value_loss           | 0.0232      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.5        |
|    ep_rew_mean          | 0.436       |
| time/                   |             |
|    fps                  | 578         |
|    iterations           | 31          |
|    time_elapsed         | 109         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.008498655 |
|    clip_fraction        | 0.0498      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.0874      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00313    |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00589    |
|    value_loss           | 0.0231      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 49.5        |
|    ep_rew_mean          | 0.403       |
| time/                   |             |
|    fps                  | 578         |
|    iterations           | 32          |
|    time_elapsed         | 113         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.010700928 |
|    clip_fraction        | 0.085       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.54       |
|    explained_variance   | -0.0284     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0116     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00823    |
|    value_loss           | 0.0207      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 41.5       |
|    ep_rew_mean          | 0.432      |
| time/                   |            |
|    fps                  | 577        |
|    iterations           | 33         |
|    time_elapsed         | 117        |
|    total_timesteps      | 67584      |
| train/                  |            |
|    approx_kl            | 0.00888146 |
|    clip_fraction        | 0.0697     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.48      |
|    explained_variance   | 0.277      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0141    |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.00685   |
|    value_loss           | 0.0171     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.6        |
|    ep_rew_mean          | 0.392       |
| time/                   |             |
|    fps                  | 573         |
|    iterations           | 34          |
|    time_elapsed         | 121         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.007680613 |
|    clip_fraction        | 0.0576      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.0369      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0237     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00618    |
|    value_loss           | 0.0257      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.3        |
|    ep_rew_mean          | 0.305       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 35          |
|    time_elapsed         | 125         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.007890491 |
|    clip_fraction        | 0.0723      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.338       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0068     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00541    |
|    value_loss           | 0.0175      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 47         |
|    ep_rew_mean          | 0.342      |
| time/                   |            |
|    fps                  | 570        |
|    iterations           | 36         |
|    time_elapsed         | 129        |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.00793951 |
|    clip_fraction        | 0.0856     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.53      |
|    explained_variance   | 0.167      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0146    |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.00732   |
|    value_loss           | 0.0175     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42.4        |
|    ep_rew_mean          | 0.387       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 37          |
|    time_elapsed         | 132         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.011712842 |
|    clip_fraction        | 0.0988      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.305       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0241     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0103     |
|    value_loss           | 0.0162      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.2         |
|    ep_rew_mean          | 0.381        |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 38           |
|    time_elapsed         | 136          |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0085875485 |
|    clip_fraction        | 0.0681       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.112        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0147      |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00803     |
|    value_loss           | 0.026        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.6        |
|    ep_rew_mean          | 0.317       |
| time/                   |             |
|    fps                  | 571         |
|    iterations           | 39          |
|    time_elapsed         | 139         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.009787632 |
|    clip_fraction        | 0.0997      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.122       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0113      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00917    |
|    value_loss           | 0.015       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.1         |
|    ep_rew_mean          | 0.342        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 40           |
|    time_elapsed         | 143          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0070133493 |
|    clip_fraction        | 0.0615       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | 0.0273       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00558      |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00599     |
|    value_loss           | 0.0143       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.7        |
|    ep_rew_mean          | 0.429       |
| time/                   |             |
|    fps                  | 572         |
|    iterations           | 41          |
|    time_elapsed         | 146         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.007588215 |
|    clip_fraction        | 0.0816      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.121       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00296    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00621    |
|    value_loss           | 0.0198      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 41          |
|    ep_rew_mean          | 0.427       |
| time/                   |             |
|    fps                  | 571         |
|    iterations           | 42          |
|    time_elapsed         | 150         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.006336415 |
|    clip_fraction        | 0.0652      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | 0.186       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00629     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.00596    |
|    value_loss           | 0.0247      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 45.8        |
|    ep_rew_mean          | 0.394       |
| time/                   |             |
|    fps                  | 572         |
|    iterations           | 43          |
|    time_elapsed         | 153         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.011029484 |
|    clip_fraction        | 0.0987      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.18       |
|    explained_variance   | 0.136       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0089     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00935    |
|    value_loss           | 0.0177      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 49           |
|    ep_rew_mean          | 0.37         |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 44           |
|    time_elapsed         | 157          |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0065199276 |
|    clip_fraction        | 0.072        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.342        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00399     |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.0076      |
|    value_loss           | 0.0164       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.2         |
|    ep_rew_mean          | 0.319        |
| time/                   |              |
|    fps                  | 570          |
|    iterations           | 45           |
|    time_elapsed         | 161          |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0068679736 |
|    clip_fraction        | 0.0544       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.01        |
|    explained_variance   | 0.191        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0056       |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.00709     |
|    value_loss           | 0.0182       |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 48.8       |
|    ep_rew_mean          | 0.324      |
| time/                   |            |
|    fps                  | 570        |
|    iterations           | 46         |
|    time_elapsed         | 165        |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.00727896 |
|    clip_fraction        | 0.0568     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.09      |
|    explained_variance   | 0.0396     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0153     |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.00645   |
|    value_loss           | 0.0134     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 46          |
|    ep_rew_mean          | 0.299       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 47          |
|    time_elapsed         | 168         |
|    total_timesteps      | 96256       |
| train/                  |             |
|    approx_kl            | 0.005212755 |
|    clip_fraction        | 0.0481      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.11        |
|    learning_rate        | 0.0003      |
